,name,geometry,City,Median_Rent
0,Seacliff,"MULTIPOLYGON (((-122.4934552679999 37.78351817100008, -122.4937264999999 37.78724665100009, -122.4935866669999 37.78731259500006, -122.4936056939999 37.78752774600008, -122.4928300739999 37.78788258500003, -122.4927566799999 37.78773917700005, -122.4898290639999 37.78948218400006, -122.4889910569999 37.78928318700008, -122.4878640209999 37.78958817900008, -122.4873690489999 37.78942984100007, -122.4859803289999 37.79080370600008, -122.4858153739999 37.79070384600004, -122.4855775079999 37.79055984700005, -122.4850531269999 37.79036813300007, -122.4842660519999 37.78941170900003, -122.4840770679999 37.78939909400009, -122.4838230019999 37.78928250300004, -122.4837073859999 37.78877695000006, -122.4839269609999 37.78831520100005, -122.4839504329999 37.78802775100007, -122.4841427129999 37.78777522900009, -122.4841506649999 37.78755465300009, -122.4846398299999 37.78753212700008, -122.4846428529999 37.78737878500004, -122.4843102249999 37.78735203400004, -122.4841736059999 37.78731086500005, -122.4840798049999 37.78579452900004, -122.4872863649999 37.78564884000008, -122.4871507149999 37.78378542700005, -122.4934552679999 37.78351817100008)))",San Francisco,4911.0
1,Lake Street,"MULTIPOLYGON (((-122.4871507149999 37.78378542700005, -122.4872863649999 37.78564884000008, -122.4840798049999 37.78579452900004, -122.4841736059999 37.78731086500005, -122.4823705079999 37.78709062900003, -122.4821746479999 37.78724520800006, -122.4819829279999 37.78723982500009, -122.4788464579999 37.78700686800005, -122.4745536819999 37.78695005300006, -122.4724105299999 37.78734653900005, -122.4726257899999 37.78631480600006, -122.4725858689999 37.78444889000008, -122.4871507149999 37.78378542700005)))",San Francisco,4345.0
2,Presidio National Park,"MULTIPOLYGON (((-122.4775801709999 37.81099311300005, -122.4771233229999 37.81100322500004, -122.4764664569999 37.81083647600008, -122.4759676539999 37.80957458300009, -122.4749493229999 37.80925997300005, -122.4730093899999 37.80907264800004, -122.4706010839999 37.80859892400008, -122.4693044679999 37.80772703100007, -122.4687900579999 37.80700281300005, -122.4683030209999 37.80681790100004, -122.4672035369999 37.80601222900009, -122.4635793089999 37.80487981500005, -122.4622131619999 37.80501862200003, -122.4543537359999 37.80647839800008, -122.4491711739999 37.80683674900007, -122.4487282879999 37.80670157800006, -122.4483998159999 37.80458072600004, -122.4487563819999 37.80445212300009, -122.4491100919999 37.80429571200006, -122.4492395049999 37.80419044000007, -122.4493872009999 37.80406014000005, -122.4495111869999 37.80392644800008, -122.4496989149999 37.80364601900004, -122.4497912129999 37.80342683000003, -122.4498488279999 37.80316345000006, -122.4498271339999 37.80273136700004, -122.4496201109999 37.80230167100007, -122.4493718289999 37.80202710100008, -122.4492128149999 37.80176411500008, -122.4486682369999 37.80150132800009, -122.4482826059999 37.80140704600007, -122.4479026599999 37.80137049800004, -122.4469944559999 37.79550767400008, -122.4464735109999 37.79214168000004, -122.4596438789999 37.78947441400004, -122.4710043209999 37.78723406100005, -122.4710038309999 37.78764911300004, -122.4745536819999 37.78695005300006, -122.4788464579999 37.78700686800005, -122.4821746479999 37.78724520800006, -122.4823705079999 37.78709062900003, -122.4841736059999 37.78731086500005, -122.4843102249999 37.78735203400004, -122.4846428529999 37.78737878500004, -122.4846398299999 37.78753212700008, -122.4841506649999 37.78755465300009, -122.4841427129999 37.78777522900009, -122.4839504329999 37.78802775100007, -122.4839269609999 37.78831520100005, -122.4837073859999 37.78877695000006, -122.4838230019999 37.78928250300004, -122.4842660519999 37.78941170900003, -122.4850531269999 37.79036813300007, -122.4859803289999 37.79080370600008, -122.4832938639999 37.79467123700005, -122.4835178639999 37.79473001800005, -122.4819578009999 37.79853524300006, -122.4799273179999 37.80274953300005, -122.4784051299999 37.80809330700004, -122.4778962029999 37.80844904200006, -122.4779827939999 37.81054499200008, -122.4775801709999 37.81099311300005)))",San Francisco,3784.0
3,Presidio Terrace,"MULTIPOLYGON (((-122.4724105299999 37.78734653900005, -122.4710038309999 37.78764911300004, -122.4710043209999 37.78723406100005, -122.4594588339999 37.78951190100008, -122.4591787659999 37.78568169100004, -122.4666944429999 37.78471552200006, -122.4668303349999 37.78656813500004, -122.4726257899999 37.78631480600006, -122.4724105299999 37.78734653900005)))",,
4,Inner Richmond,"MULTIPOLYGON (((-122.4726257899999 37.78631480600006, -122.4668303349999 37.78656813500004, -122.4666944429999 37.78471552200006, -122.4591787659999 37.78568169100004, -122.4583710989999 37.77430889500005, -122.4651708719999 37.77344299100008, -122.4658831629999 37.77339820400005, -122.4777669469999 37.77286365500004, -122.4785619299999 37.78417688500008, -122.4725858689999 37.78444889000008, -122.4726257899999 37.78631480600006)))",San Francisco,4284.0
5,Sutro Heights,"MULTIPOLYGON (((-122.5031047159999 37.78129638200005, -122.5030864519999 37.78117676700003, -122.5026709699999 37.77547056700007, -122.5112949249999 37.77507596000004, -122.5131656239999 37.77500536400004, -122.5131327379999 37.77604166600008, -122.5133509889999 37.77734471300005, -122.5135162759999 37.77759356500007, -122.5139595699999 37.77775055000006, -122.5141943749999 37.77799732200009, -122.5143597859999 37.77885686500008, -122.5140930509999 37.77917628300008, -122.5121541359999 37.77936360900009, -122.5109071229999 37.77997605300004, -122.5095717919999 37.78005676300006, -122.5096458209999 37.78099718000004, -122.5031047159999 37.78129638200005)))",,
6,Lincoln Park / Ft. Miley,"MULTIPOLYGON (((-122.4933261399999 37.78174299200003, -122.5096458209999 37.78099718000004, -122.5095717919999 37.78005676300006, -122.5109071229999 37.77997605300004, -122.5121541359999 37.77936360900009, -122.5140930509999 37.77917628300008, -122.5143597859999 37.77885686500008, -122.5141712099999 37.77787695000006, -122.5146299109999 37.77850628600004, -122.5144939409999 37.77924298200008, -122.5148544059999 37.77952489400008, -122.5148972319999 37.77984840000005, -122.5147241989999 37.78113381600008, -122.5134444679999 37.78278063100004, -122.5126805099999 37.78412041600006, -122.5107468809999 37.78467159500008, -122.5068969689999 37.78749541600007, -122.5058525799999 37.78822902200005, -122.4995779239999 37.78870387100005, -122.4961976739999 37.78736706300003, -122.4946417659999 37.78813558100006, -122.4935863909999 37.78761875000004, -122.4935866669999 37.78731259500006, -122.4937264999999 37.78724665100009, -122.4933261399999 37.78174299200003)))",,
7,Outer Richmond,"MULTIPOLYGON (((-122.5131612759999 37.77500805900007, -122.5026709699999 37.77547056700007, -122.5030864519999 37.78117676700003, -122.5030991939999 37.78129374400004, -122.4933261399999 37.78174299200003, -122.4934905189999 37.78349837100006, -122.4871507149999 37.78378542700005, -122.4785788379999 37.78417398600004, -122.4777669469999 37.77286365500004, -122.4841942009999 37.77256906100007, -122.4895394799999 37.77232547200003, -122.4959720159999 37.77203201400005, -122.5034726909999 37.77168937900007, -122.5077506649999 37.77149503300006, -122.5110537549999 37.77134249900007, -122.5131405409999 37.77133111500007, -122.5131612759999 37.77500805900007)))",San Francisco,4129.0
8,Golden Gate Park,"MULTIPOLYGON (((-122.5131405409999 37.77133111500007, -122.5110537549999 37.77134249900007, -122.5077506649999 37.77149503300006, -122.5034726909999 37.77168937900007, -122.4959720159999 37.77203201400005, -122.4895394799999 37.77232547200003, -122.4841942009999 37.77256906100007, -122.4777669469999 37.77286365500004, -122.4717621229999 37.77313894700006, -122.4680239159999 37.77330383300006, -122.4658831629999 37.77339820400005, -122.4651318339999 37.77344158300008, -122.4583710989999 37.77430889500005, -122.4546826479999 37.77475548400008, -122.4540832169999 37.77193040300006, -122.4540699949999 37.77187178700007, -122.4539180989999 37.77112566600005, -122.4539024549999 37.77105383700007, -122.4533522879999 37.76824602400006, -122.4529960809999 37.76647606000006, -122.4529470339999 37.76637407300007, -122.4545929229999 37.76616546900004, -122.4569134229999 37.76587361400004, -122.4571893649999 37.76588054800004, -122.4576244159999 37.76596819300005, -122.4577896239999 37.76601476600007, -122.4579769669999 37.76602910800005, -122.4585679559999 37.76622068900008, -122.4588252269999 37.76621642000003, -122.4589468909999 37.76625560500008, -122.4664424899999 37.76592466100004, -122.4773083949999 37.76544798600008, -122.4836854359999 37.76516017700004, -122.4954753079999 37.76463804300005, -122.4965469869999 37.76459606100008, -122.5008305949999 37.76440614000006, -122.5103413189999 37.76400083300007, -122.5125482169999 37.76393308600007, -122.5127335579999 37.76418346700007, -122.5131077769999 37.76724200900009, -122.5131257559999 37.76929244600007, -122.5131405409999 37.77133111500007)))",San Francisco,3091.0
9,Presidio Heights,"MULTIPOLYGON (((-122.4594574409999 37.78949792400005, -122.4542427609999 37.79056159300006, -122.4477117459999 37.79189971900007, -122.4464739739999 37.79214151700006, -122.4464366469999 37.79195668800008, -122.4462995479999 37.79187852800004, -122.4454021969999 37.78743816400004, -122.4501184419999 37.78683765800008, -122.4591787659999 37.78568169100004, -122.4594574409999 37.78949792400005)))",San Francisco,5839.0
10,Laurel Heights / Jordan Park,"MULTIPOLYGON (((-122.4591787659999 37.78568169100004, -122.4501184419999 37.78683765800008, -122.4467927799999 37.78726185300008, -122.4458254359999 37.78251161300005, -122.4473200789999 37.78243380400005, -122.4475652159999 37.78241836900008, -122.4480421869999 37.78237253800006, -122.4500923019999 37.78211660300008, -122.4552807489999 37.78145866000006, -122.4555239849999 37.78143113900006, -122.4562957399999 37.78138128200004, -122.4588586609999 37.78125706000009, -122.4591787659999 37.78568169100004)))",San Francisco,4750.0
11,Lone Mountain,"MULTIPOLYGON (((-122.4472813789999 37.78243805300008, -122.4473015129999 37.78239164100006, -122.4473107089999 37.78218308100008, -122.4475390589999 37.78151029300005, -122.4474666219999 37.78116022500006, -122.4475179829999 37.78106951000007, -122.4473519269999 37.78015206000003, -122.4470398069999 37.77862230700003, -122.4464708299999 37.77580159100006, -122.4513576539999 37.77517512000009, -122.4511632989999 37.77424873300004, -122.4528128189999 37.77404069100004, -122.4526238439999 37.77310613200007, -122.4542851169999 37.77289517700007, -122.4546826479999 37.77475548400008, -122.4583710989999 37.77430889500005, -122.4588586609999 37.78125706000009, -122.4562957399999 37.78138128200004, -122.4555239849999 37.78143113900006, -122.4552807489999 37.78145866000006, -122.4500923019999 37.78211660300008, -122.4480409669999 37.78237130100007, -122.4476172659999 37.78241576900007, -122.4472813789999 37.78243805300008)))",San Francisco,4499.0
12,Anza Vista,"MULTIPOLYGON (((-122.4458260499999 37.78251272700004, -122.4457106689999 37.78251791200006, -122.4427930999999 37.78288533600005, -122.4394803809999 37.78330848700006, -122.4387401829999 37.77965962900004, -122.4409581629999 37.77936413900005, -122.4411192169999 37.77937242400009, -122.4420533089999 37.77924403000009, -122.4470398069999 37.77862230700003, -122.4473519269999 37.78015206000003, -122.4475179829999 37.78106951000007, -122.4474666219999 37.78116022500006, -122.4475390589999 37.78151029300005, -122.4473107089999 37.78218308100008, -122.4473015129999 37.78239164100006, -122.4472818219999 37.78243555500006, -122.4458260499999 37.78251272700004)))",San Francisco,4165.0
13,Cow Hollow,"MULTIPOLYGON (((-122.4468642429999 37.79469062900006, -122.4477614529999 37.80049532400005, -122.4476132789999 37.80032370100008, -122.4471305729999 37.80038582300006, -122.4459653719999 37.79958091100008, -122.4448278649999 37.79883962800005, -122.4443186189999 37.79879024500008, -122.4426478979999 37.79900005000007, -122.4376947059999 37.79963392900004, -122.4369496769999 37.79594936400008, -122.4419022419999 37.79532061400005, -122.4468642429999 37.79469062900006)))",San Francisco,5563.0
14,Union Street,"MULTIPOLYGON (((-122.4376947059999 37.79963392900004, -122.4245383249999 37.80130371900009, -122.4237929639999 37.79761658100006, -122.4369496769999 37.79594936400008, -122.4376947059999 37.79963392900004)))",,
